1;23000;Sandomierz;1;1;151
2;66200;W³oszczowa;1;2;152
3;46800;Brzeziny;1;3;153
4;34800;Brzeziny;1;4;154
5;55900;Opatów;1;5;155
6;11100;Brzeziny;1;6;156
7;66800;Kielce;1;7;157
8;55500;Ostrowiec Œwiêtokrzyski;1;8;158
9;40800;Warszawa;1;9;159
10;69000;Busko Zdrój;2;1;160
11;25700;Chêciny;2;2;161
12;19400;Brzeziny;2;3;162
13;59200;Ba³tów;2;4;163
14;17100;Kraków;2;5;164
15;24500;Sandomierz;2;6;165
16;24800;Busko Zdrój;2;7;166
17;35400;W³oszczowa;2;8;167
18;8700;Wroc³aw;2;9;168
19;12000;Kielce;3;1;169
20;24300;Chêciny;3;2;170
21;26100;Wroc³aw;3;3;171
22;48200;Kraków;3;4;172
23;47700;Sandomierz;3;5;173
24;21500;Kraków;3;6;174
25;50700;Wroc³aw;3;7;175
26;68000;Ba³tów;3;8;176
27;55500;W³oszczowa;3;9;177
28;59000;Mas³ów;4;1;178
29;35000;Chêciny;4;2;179
30;34600;Brzeziny;4;3;180
31;53300;Wroc³aw;4;4;181
32;55800;Warszawa;4;5;182
33;48700;Chêciny;4;6;183
34;5500;Brzeziny;4;7;184
35;60900;Mas³ów;4;8;185
36;46700;Busko Zdrój;4;9;186
37;10100;Brzeziny;5;1;187
38;31900;Busko Zdrój;5;2;188
39;66200;Ba³tów;5;3;189
40;70000;Brzeziny;5;4;190
41;41900;Ostrowiec Œwiêtokrzyski;5;5;191
42;19100;Mas³ów;5;6;192
43;9400;Koñskie;5;7;193
44;17200;W³oszczowa;5;8;194
45;45600;Chêciny;5;9;195
46;44200;Koñskie;6;1;196
47;48300;Ba³tów;6;2;197
48;56700;Kielce;6;3;198
49;66900;Warszawa;6;4;199
50;6800;Busko Zdrój;6;5;200
51;13000;Koñskie;6;6;201
52;68500;Kraków;6;7;202
53;65900;Busko Zdrój;6;8;203
54;59300;Opatów;6;9;204
55;24500;Sandomierz;7;1;205
56;10600;Ostrowiec Œwiêtokrzyski;7;2;206
57;62300;Mas³ów;7;3;207
58;24500;Ba³tów;7;4;208
59;26600;Kielce;7;5;209
60;15500;W³oszczowa;7;6;210
61;5600;Sandomierz;7;7;211
62;34700;Ba³tów;7;8;212
63;7800;Sandomierz;7;9;213
64;16200;Mas³ów;8;1;214
65;19000;Busko Zdrój;8;2;215
66;48900;Bodzentyn;8;3;216
67;24400;Chêciny;8;4;217
68;70100;Chêciny;8;5;218
69;49900;Kraków;8;6;219
70;47600;Busko Zdrój;8;7;220
71;10300;Chêciny;8;8;221
72;11100;Brzeziny;8;9;222
73;61900;Ba³tów;9;1;223
74;36400;Bodzentyn;9;2;224
75;32600;Opatów;9;3;225
76;19300;Koñskie;9;4;226
77;27700;Busko Zdrój;9;5;227
